attack,fix_size,mem_available,mem_cached,mem_free,mem_inactive,memswap_free,memswap_total
1,4708106240,917688320,361664512,917688320,240955392,645918720,645918720
1,4708106240,914485248,361693184,914485248,240943104,645918720,645918720
1,4708106240,913903616,362090496,913903616,241266688,645918720,645918720
1,4708106240,907665408,362209280,907665408,241238016,645918720,645918720
1,4708106240,905572352,362266624,905572352,241274880,645918720,645918720
1,4708106240,905592832,362287104,905592832,241278976,645918720,645918720
1,4708106240,903307264,362336256,903307264,241303552,645918720,645918720
1,4708106240,903106560,362541056,903106560,241397760,645918720,645918720
1,4708106240,901124096,362680320,901124096,241582080,645918720,645918720
1,4708106240,900927488,362917888,900927488,241700864,645918720,645918720
1,4708106240,901304320,363196416,901304320,241905664,645918720,645918720
1,4708106240,898920448,363433984,898920448,242073600,645918720,645918720
1,4708106240,896962560,363683840,896962560,242253824,645918720,645918720
1,4708106240,896913408,364032000,896913408,242495488,645918720,645918720
1,4708106240,894808064,364302336,894808064,242675712,645918720,645918720
1,4708106240,894959616,364572672,894959616,242896896,645918720,645918720
1,4708106240,892452864,364826624,892452864,243060736,645918720,645918720
1,4708106240,892461056,365076480,892461056,243273728,645918720,645918720
1,4708106240,892411904,365281280,892411904,243392512,645918720,645918720
1,4708106240,890392576,365465600,890392576,243568640,645918720,645918720
1,4708106240,890273792,365719552,890273792,243736576,645918720,645918720
1,4708106240,888311808,365957120,888311808,243900416,645918720,645918720
1,4708106240,888250368,366116864,888250368,244011008,645918720,645918720
1,4708106240,886169600,366395392,886169600,244224000,645918720,645918720
1,4708106240,885764096,366596096,885764096,244355072,645918720,645918720
1,4708106240,885784576,366817280,885784576,244510720,645918720,645918720
1,4708106240,883429376,367030272,883429376,244678656,645918720,645918720
1,4708106240,883728384,367230976,883728384,244822016,645918720,645918720
1,4708106240,883408896,367415296,883408896,244957184,645918720,645918720
1,4708106240,881147904,367640576,881147904,245116928,645918720,645918720
1,4708106240,881152000,367792128,881152000,245211136,645918720,645918720
1,4708106240,878911488,367988736,878911488,245342208,645918720,645918720
1,4708106240,878981120,368189440,878981120,245522432,645918720,645918720
1,4708106240,879116288,368484352,879116288,245682176,645918720,645918720
1,4708106240,876953600,368693248,876953600,245821440,645918720,645918720
1,4708106240,876945408,368910336,876945408,245977088,645918720,645918720
1,4708106240,874663936,369164288,874663936,246226944,645918720,645918720
1,4708106240,874586112,369541120,874586112,246513664,645918720,645918720
1,4708106240,870342656,370139136,870342656,246902784,645918720,645918720
1,4708106240,868089856,370884608,868089856,247472128,645918720,645918720
1,4708106240,863903744,371728384,863903744,248045568,645918720,645918720
1,4708106240,861872128,372236288,861872128,248479744,645918720,645918720
1,4708106240,859729920,373116928,859729920,249110528,645918720,645918720
1,4708106240,857681920,373682176,857681920,249528320,645918720,645918720
1,4708106240,855945216,374001664,855945216,249720832,645918720,645918720
1,4708106240,853954560,374427648,853954560,250015744,645918720,645918720
1,4708106240,854007808,374812672,854007808,250363904,645918720,645918720
1,4708106240,851902464,375193600,851902464,250585088,645918720,645918720
1,4708106240,849534976,375566336,849534976,250826752,645918720,645918720
1,4708106240,847839232,376344576,847839232,251375616,645918720,645918720
1,4708106240,845721600,376827904,845721600,251658240,645918720,645918720
1,4708106240,843579392,376987648,843579392,251764736,645918720,645918720
1,4708106240,843444224,388239360,843444224,246878208,645918720,645918720
1,4708106240,841261056,388476928,841261056,246947840,645918720,645918720
1,4708106240,815300608,414724096,815300608,270127104,645918720,645918720
1,4708106240,1093582848,415543296,1093582848,267345920,645918720,645918720
1,4708106240,1093595136,415543296,1093595136,267341824,645918720,645918720
1,4708106240,1093701632,415543296,1093701632,267341824,645918720,645918720
1,4708106240,1093599232,415543296,1093599232,267341824,645918720,645918720
1,4708106240,1093754880,415547392,1093754880,267345920,645918720,645918720
1,4708106240,1093607424,415547392,1093607424,267341824,645918720,645918720
1,4708106240,1093607424,415547392,1093607424,267341824,645918720,645918720
1,4708106240,1093611520,415551488,1093611520,267345920,645918720,645918720
1,4708106240,1093611520,415551488,1093611520,267341824,645918720,645918720
1,4708106240,1093382144,415551488,1093382144,267341824,645918720,645918720
1,4708106240,1093472256,415551488,1093472256,267341824,645918720,645918720
1,4708106240,1093476352,415555584,1093476352,267345920,645918720,645918720
1,4708106240,1093476352,415555584,1093476352,267341824,645918720,645918720
1,4708106240,1093570560,415555584,1093570560,267341824,645918720,645918720
1,4708106240,1093558272,415555584,1093558272,267341824,645918720,645918720
1,4708106240,1093603328,415555584,1093603328,267341824,645918720,645918720
1,4708106240,1093586944,415559680,1093586944,267345920,645918720,645918720
1,4708106240,1093586944,415559680,1093586944,267341824,645918720,645918720
1,4708106240,1093488640,415559680,1093488640,267341824,645918720,645918720
1,4708106240,1093488640,415559680,1093488640,267341824,645918720,645918720
1,4708106240,1093492736,415563776,1093492736,267345920,645918720,645918720
1,4708106240,1093492736,415563776,1093492736,267341824,645918720,645918720
1,4708106240,1093492736,415563776,1093492736,267341824,645918720,645918720
1,4708106240,1093492736,415563776,1093492736,267341824,645918720,645918720
1,4708106240,1093570560,415567872,1093570560,267345920,645918720,645918720
1,4708106240,1093464064,415567872,1093464064,267341824,645918720,645918720
1,4708106240,1093570560,415567872,1093570560,267341824,645918720,645918720
1,4708106240,1093496832,415567872,1093496832,267341824,645918720,645918720
1,4708106240,1093500928,415571968,1093500928,267345920,645918720,645918720
1,4708106240,1093500928,415571968,1093500928,267341824,645918720,645918720
1,4708106240,1093500928,415571968,1093500928,267341824,645918720,645918720
1,4708106240,1093500928,415571968,1093500928,267341824,645918720,645918720
1,4708106240,1093505024,415576064,1093505024,267345920,645918720,645918720
1,4708106240,1093623808,415576064,1093623808,267341824,645918720,645918720
1,4708106240,1093484544,415576064,1093484544,267341824,645918720,645918720
1,4708106240,1093451776,415576064,1093451776,267341824,645918720,645918720
1,4708106240,1093464064,415580160,1093464064,267345920,645918720,645918720
1,4708106240,1093488640,415580160,1093488640,267341824,645918720,645918720
1,4708106240,1093488640,415580160,1093488640,267341824,645918720,645918720
1,4708106240,1093488640,415580160,1093488640,267341824,645918720,645918720
1,4708106240,1093488640,415580160,1093488640,267341824,645918720,645918720
1,4708106240,1093386240,415584256,1093386240,267345920,645918720,645918720
1,4708106240,1093386240,415584256,1093386240,267341824,645918720,645918720
1,4708106240,1093386240,415584256,1093386240,267341824,645918720,645918720
1,4708106240,1093865472,415584256,1093865472,267341824,645918720,645918720
1,4708106240,1093361664,415588352,1093361664,267345920,645918720,645918720
1,4708106240,1093533696,415588352,1093533696,267341824,645918720,645918720
1,4708106240,1093357568,415588352,1093357568,267341824,645918720,645918720
1,4708106240,1093369856,415588352,1093369856,267341824,645918720,645918720
1,4708106240,1093373952,415592448,1093373952,267345920,645918720,645918720
1,4708106240,1093267456,415592448,1093267456,267341824,645918720,645918720
1,4708106240,1093267456,415592448,1093267456,267341824,645918720,645918720
1,4708106240,1093267456,415592448,1093267456,267341824,645918720,645918720
1,4708106240,1093386240,415596544,1093386240,267345920,645918720,645918720
1,4708106240,1093398528,415596544,1093398528,267341824,645918720,645918720
1,4708106240,1093484544,415596544,1093484544,267341824,645918720,645918720
1,4708106240,1093259264,415596544,1093259264,267341824,645918720,645918720
1,4708106240,1093627904,415596544,1093627904,267341824,645918720,645918720
1,4708106240,1093275648,415600640,1093275648,267345920,645918720,645918720
1,4708106240,1093255168,415600640,1093255168,267341824,645918720,645918720
1,4708106240,1093255168,415600640,1093255168,267341824,645918720,645918720
1,4708106240,1093255168,415600640,1093255168,267341824,645918720,645918720
1,4708106240,1093255168,415600640,1093255168,267341824,645918720,645918720
1,4708106240,1093152768,415604736,1093152768,267345920,645918720,645918720
1,4708106240,1093152768,415604736,1093152768,267341824,645918720,645918720
1,4708106240,1093152768,415604736,1093152768,267341824,645918720,645918720
1,4708106240,1093251072,415608832,1093251072,267345920,645918720,645918720
1,4708106240,1093144576,415608832,1093144576,267341824,645918720,645918720
1,4708106240,1093410816,415608832,1093410816,267341824,645918720,645918720
1,4708106240,1093156864,415608832,1093156864,267341824,645918720,645918720
1,4708106240,1093140480,415612928,1093140480,267345920,645918720,645918720
1,4708106240,1093140480,415612928,1093140480,267341824,645918720,645918720
1,4708106240,1093140480,415612928,1093140480,267341824,645918720,645918720
1,4708106240,1093140480,415612928,1093140480,267341824,645918720,645918720
1,4708106240,1093144576,415617024,1093144576,267345920,645918720,645918720
1,4708106240,1093144576,415617024,1093144576,267341824,645918720,645918720
1,4708106240,1093144576,415617024,1093144576,267341824,645918720,645918720
1,4708106240,1093124096,415617024,1093124096,267341824,645918720,645918720
1,4708106240,1093156864,415621120,1093156864,267345920,645918720,645918720
1,4708106240,1093275648,415621120,1093275648,267341824,645918720,645918720
1,4708106240,1093148672,415621120,1093148672,267341824,645918720,645918720
1,4708106240,1093148672,415621120,1093148672,267341824,645918720,645918720
1,4708106240,1093152768,415625216,1093152768,267345920,645918720,645918720
1,4708106240,1093046272,415625216,1093046272,267341824,645918720,645918720
1,4708106240,1093046272,415625216,1093046272,267341824,645918720,645918720
1,4708106240,1093046272,415625216,1093046272,267341824,645918720,645918720
1,4708106240,1093046272,415625216,1093046272,267341824,645918720,645918720
1,4708106240,1093050368,415629312,1093050368,267345920,645918720,645918720
1,4708106240,1093136384,415629312,1093136384,267341824,645918720,645918720
1,4708106240,1093144576,415629312,1093144576,267341824,645918720,645918720
1,4708106240,1093160960,415629312,1093160960,267341824,645918720,645918720
1,4708106240,1093054464,415637504,1093054464,267345920,645918720,645918720
1,4708106240,1093054464,415637504,1093054464,267341824,645918720,645918720
1,4708106240,1093054464,415637504,1093054464,267341824,645918720,645918720
1,4708106240,1093033984,415637504,1093033984,267341824,645918720,645918720
1,4708106240,1093038080,415641600,1093038080,267345920,645918720,645918720
1,4708106240,1093038080,415641600,1093038080,267341824,645918720,645918720
1,4708106240,1093201920,415641600,1093201920,267341824,645918720,645918720
1,4708106240,1093038080,415641600,1093038080,267341824,645918720,645918720
1,4708106240,1093021696,415645696,1093021696,267345920,645918720,645918720
1,4708106240,1093038080,415645696,1093038080,267341824,645918720,645918720
1,4708106240,1093042176,415645696,1093042176,267341824,645918720,645918720
1,4708106240,1093042176,415645696,1093042176,267341824,645918720,645918720
1,4708106240,1093046272,415649792,1093046272,267345920,645918720,645918720
1,4708106240,1093046272,415649792,1093046272,267341824,645918720,645918720
